id_klienta;surname;name;patronymic;passport_series;passport_number;phone_number;residential_address
1;Петров;Иван;Иванович;AB;123456;+987654321;ул. Ленина, 1
2;Сидоров;Петр;Петрович;CD;789012;+111222333;ул. Гагарина, 2
3;Кузнецов;Сидор;Сидорович;EF;345678;+999888777;ул. Пушкина, 3
4;Смирнов;Алексей;Алексеевич;GH;901234;+555444333;ул. Чехова, 4
5;Николаев;Дмитрий;Дмитриевич;IJ;567890;+777888999;ул. Тургенева, 5
6;Козлов;Николай;Николаевич;KL;234567;+123789456;ул. Достоевского, 6
7;Лебедев;Артем;Артемович;MN;890123;+456789123;ул. Булгакова, 7
8;Андреев;Егор;Егорович;OP;456789;+321654987;ул. Горького, 8
9;Борисов;Андрей;Андреевич;QR;123456;+789123456;ул. Пастернака, 9
10;Иванов;Борис;Борисович;ST;789012;+111111111;ул. Бродского, 10
